Movie	Released on	URL	Word	Count
Chacha Zindabad (1959)	1959	https://www.lyricsbogie.com/movies/chacha-zindabad-1959/des-chhudaye.html	gori	2
Aap Ke Deewane (1980)	1980	https://www.lyricsbogie.com/movies/aap-ke-deewane-1980/tera-jalwa-tauba-hai-tera-jalwa.html	gora	1
Naata (1955)	1955	https://www.lyricsbogie.com/movies/naata-1955/more-salone-kanha-gaana.html	gori	1
Don (1978)	1978	https://www.lyricsbogie.com/movies/don-1978/khaike-pan-banaras-wala.html	gori	4
Kurbaan (1991)	1991	https://www.lyricsbogie.com/movies/kurbaan-1991/aao-main-padhadoon-tumhain.html	gore	4
Meraa Dost Meraa Dushman (1984)	1984	https://www.lyricsbogie.com/movies/meraa-dost-meraa-dushman-1984/hum-tohre-saiya-hai.html	gori	1
Simla Road (1969)	1969	https://www.lyricsbogie.com/movies/simla-road-1969/pajama-tang-hai-kurta-dheela.html	goriye	1
Simla Road (1969)	1969	https://www.lyricsbogie.com/movies/simla-road-1969/pajama-tang-hai-kurta-dheela.html	gori	1
Kasam (1976)	1976	https://www.lyricsbogie.com/movies/kasam-1976/jo-mai-tujhko-chori-se.html	goriye	1
Banarasi Babu (1997)	1997	https://www.lyricsbogie.com/movies/banarasi-babu-1997/madhubala-2.html	gore	1
Ek Saal (1957)	1957	https://www.lyricsbogie.com/movies/ek-saal-1957-movies/tu-jiye-hazaro-saal-gori.html	gori	21
Talaashi (1996)	1996	https://www.lyricsbogie.com/movies/talaashi-1996/jeevan-mein-pyase-ko.html	gori	2
Do Badan (1966)	1966	https://www.lyricsbogie.com/movies/do-badan-1966/mat-jaiyo-naukariya-chhod-ke.html	gore	1
Pocket Maar (1956)	1956	https://www.lyricsbogie.com/movies/pocket-maar-1956/ladi-aankh-se-aankh-2.html	gore	2
Veena (1948)	1948	https://www.lyricsbogie.com/movies/veena-1948/koi-sham-rang-koi-gori.html	gori	3
Jail Yatra (1947)	1947	https://www.lyricsbogie.com/movies/jail-yatra-1947/o-gori-kaha-chali-us-paar.html	gori	4
Deedar (1992)	1992	https://www.lyricsbogie.com/movies/deedar-1992/aye-dosto-gori-kawari-si-haseena-ke.html	gori	5
Tumko Na Bhool Paayenge (2002)	2002	https://www.lyricsbogie.com/movies/tumko-na-bhool-paayenge-2002/main-to-ladki-kanwari.html	gori	1
Dhoti Lota Aur Chowpatty (1975)	1975	https://www.lyricsbogie.com/movies/dhoti-lota-aur-chowpatty-1975/thumak-thumak-chaal-chale.html	gora	3
Dhoti Lota Aur Chowpatty (1975)	1975	https://www.lyricsbogie.com/movies/dhoti-lota-aur-chowpatty-1975/thumak-thumak-chaal-chale.html	gori	7
Sanson Ki Sargam (1991)	1991	https://www.lyricsbogie.com/movies/sanson-ki-sargam-1991/kunwari-saheli-too.html	goriye	1
The Thief Of Baghdad (1969)	1969	https://www.lyricsbogie.com/movies/the-thief-of-baghdad-1969/mujhko-deewana-kar-gaye.html	gore	4
Pehli Raat (1959)	1959	https://www.lyricsbogie.com/movies/pehli-raat-1959/aaj-chupke-se-ho-gayi.html	gori	2
Bahu Ki Awaaz (1985)	1985	https://www.lyricsbogie.com/movies/bahu-ki-awaaz-1985/chand-ko-banake.html	gori	2
Bahu Ki Awaaz (1985)	1985	https://www.lyricsbogie.com/movies/bahu-ki-awaaz-1985/chand-ko-banake.html	gore	2
Banana Brothers (2003)	2006	https://www.lyricsbogie.com/movies/banana-brothers-2003/i-feel-so-good.html	gora	2
Lal Dupatta (1948)	1948	https://www.lyricsbogie.com/movies/lal-dupatta-1948/meri-phool-bagiya-mein.html	gori	1
Yun Hota Toh Kya Hota: What If...? (2006)	2006	https://www.lyricsbogie.com/movies/yun-hota-toh-kya-hota-what-if-2006/ek-baar-jaana-america.html	goriyaan	1
Yun Hota Toh Kya Hota: What If...? (2006)	2006	https://www.lyricsbogie.com/movies/yun-hota-toh-kya-hota-what-if-2006/ek-baar-jaana-america.html	gori	2
